seg_no, inlet_node, outlet_node, length, inlet_radius, outlet_radius, peripheral_c, peripheral_r
1,1,2,0.074407,0.022019,0.021775,0,0
2,2,3,0.024802,0.019108,0.019108,0,0
3,2,4,0.034,0.010354,0.010354,0,0
4,4,5,0.034,0.008887,0.0081469,0,0
5,4,6,0.094,0.0059251,0.0051099,0,0
6,5,7,0.149,0.0027406,0.001715,0,0
7,5,8,0.422,0.0081469,0.0034953,0,0
8,8,9,0.235,0.0019254,0.00131,0,0
9,8,10,0.067,0.0031845,0.002633,0,0
10,10,11,0.079,0.001115,0.001115,2.771e-11,1.0834e+10
11,10,12,0.171,0.002449,0.002241,0,0
12,6,13,0.178,0.0042222,0.002633,0,0
13,6,14,0.041,0.0037033,0.002756,0,0
14,3,15,0.039,0.018368,0.018368,0,0
15,3,16,0.139,0.0054812,0.0047773,0,0
16,16,17,0.178,0.0039259,0.002511,0,0
17,16,18,0.041,0.0034808,0.002633,0,0
18,15,19,0.052,0.016294,0.014798,0,0
19,15,20,0.034,0.0081469,0.0074067,0,0
20,20,7,0.148,0.0027406,0.001715,0,0
21,20,22,0.422,0.0068878,0.0034953,0,0
22,22,23,0.235,0.0019254,0.00131,0,0
23,22,24,0.067,0.0031845,0.002633,0,0
24,24,25,0.079,0.001115,0.001115,2.771e-11,1.0834e+10
25,24,26,0.171,0.002449,0.002241,0,0
26,19,27,0.08,0.0017779,0.00147,2.5117e-10,1.9695e+09
27,19,28,0.104,0.012887,0.010517,0,0
28,28,29,0.053,0.0090358,0.0090358,0,0
29,28,30,0.02,0.0056288,0.0056288,0,0
30,30,31,0.01,0.0044435,0.003674,0,0
31,30,32,0.071,0.004296,0.003368,5.0268e-11,5.1056e+09
32,31,33,0.066,0.002939,0.002939,1.2882e-10,2.1539e+09
33,31,34,0.063,0.002449,0.002449,9.7685e-11,2.8564e+09
34,29,35,0.059,0.0044435,0.003674,2.0402e-10,1.3509e+09
35,29,36,0.01,0.0087395,0.0087395,0,0
36,36,37,0.032,0.0038509,0.003184,3.2491e-10,9.427e+08
37,36,38,0.01,0.0084432,0.0084432,0,0
38,38,39,0.032,0.0038509,0.003184,3.2491e-10,9.427e+08
39,38,40,0.106,0.0081469,0.0078505,0,0
40,40,41,0.05,0.0023705,0.00196,5.8064e-11,4.7917e+09
41,40,42,0.01,0.007703,0.0074067,0,0
42,42,44,0.058,0.005451,0.0051849,0,0
43,42,43,0.059,0.005451,0.0051849,0,0
44,44,45,0.144,0.0041472,0.003307,0,0
45,44,46,0.05,0.0039017,0.003226,5.2046e-11,4.9515e+09
46,45,47,0.443,0.003062,0.002327,0,0
47,45,48,0.126,0.001837,0.001527,8.4199e-11,3.8511e+09
48,47,49,0.321,0.001898,0.001715,1.0956e-10,2.9576e+09
49,47,50,0.343,0.001592,0.001408,7.3846e-11,4.45e+09
50,43,51,0.145,0.0041472,0.003307,0,0
51,43,52,0.05,0.0039017,0.003226,5.2046e-11,4.9515e+09
52,51,53,0.444,0.003062,0.002327,0,0
53,51,54,0.127,0.001837,0.001527,8.4199e-11,3.8511e+09
54,53,55,0.322,0.001898,0.001715,1.0984e-10,2.9518e+09
55,53,56,0.344,0.001592,0.001408,7.4036e-11,4.4414e+09
56,7,21,0.015,0.002449,0.002327,0,0
57,21,57,0.01,0.002327,0.001653,0,0
58,57,58,0.004,0.001164,0.001164,0,0
59,57,59,0.004,0.001164,0.001164,0,0
60,58,60,0.004,0.000919,0.000919,0,0
61,59,61,0.004,0.000919,0.000919,0,0
62,58,62,0.059,0.001225,0.001102,1.0992e-11,8.0802e+09
63,59,63,0.059,0.001225,0.001102,1.0992e-11,8.0802e+09
64,60,64,0.004,0.002388,0.002327,0,0
65,61,65,0.004,0.002388,0.002327,0,0
66,66,67,0.012,0.001286,0.001225,0,0
67,68,69,0.012,0.001286,0.001225,0,0
68,66,70,0.008,0.001837,0.001715,0,0
69,70,71,0.071,0.001225,0.001225,1.3582e-11,6.4879e+09
70,70,72,0.07,0.001225,0.001225,1.3582e-11,6.4879e+09
71,68,73,0.008,0.001837,0.001715,0,0
72,73,74,0.071,0.001225,0.001225,1.3582e-11,6.4879e+09
73,73,75,0.07,0.001225,0.001225,1.3582e-11,6.4879e+09
74,67,76,0.024,0.001102,0.001041,9.8084e-12,9.0936e+09
75,67,69,0.004,0.000796,0.000796,0,0
76,69,77,0.024,0.001102,0.001041,9.8084e-12,9.0936e+09
77,13,60,0.011,0.002633,0.002388,0,0
78,13,78,0.011,0.000612,0.000306,1.5774e-12,1.9108e+11
79,17,61,0.011,0.002633,0.002388,0,0
80,17,79,0.011,0.000612,0.000306,1.5774e-12,1.9108e+11
81,14,80,0.061,0.002449,0.002143,0,0
82,14,81,0.101,0.001715,0.001715,4.9549e-11,5.7072e+09
83,18,82,0.061,0.002449,0.002143,0,0
84,18,83,0.101,0.001347,0.00098,1.6179e-11,1.7877e+10
85,80,84,0.061,0.00196,0.001837,0,0
86,80,85,0.091,0.001347,0.000612,6.3097e-12,4.674e+10
87,82,86,0.061,0.00196,0.001837,0,0
88,82,87,0.091,0.001347,0.000612,6.3097e-12,4.674e+10
89,84,88,0.1,0.001347,0.000857,1.2373e-11,2.3512e+10
90,84,89,0.101,0.001347,0.000857,1.2373e-11,2.3512e+10
91,86,90,0.1,0.001347,0.000857,1.2373e-11,2.3512e+10
92,86,91,0.101,0.001347,0.000857,1.2373e-11,2.3512e+10
93,64,92,0.036,0.000919,0.000796,5.7349e-12,1.5865e+10
94,64,66,0.004,0.002327,0.002327,0,0
95,65,93,0.036,0.000919,0.000796,5.7349e-12,1.5865e+10
96,65,68,0.004,0.002327,0.002327,0,0
97,9,94,0.03,0.000703,0.000703,0,0
98,9,95,0.01,0.001217,0.001217,0,0
99,12,96,0.03,0.00147,0.00147,0,0
100,12,97,0.01,0.001911,0.001911,0,0
101,95,97,0.01,0.001106,0.001106,0,0
102,95,98,0.03,0.000998,0.000998,2.22e-11,1.3605e+10
103,97,99,0.03,0.001531,0.001531,5.2245e-11,5.6526e+09
104,94,100,0.015,0.000703,0.000703,1.1015e-11,2.7935e+10
105,96,101,0.025,0.00147,0.00147,4.8164e-11,6.1436e+09
106,94,96,0.03,0.000806,0.000806,0,0
107,23,102,0.03,0.000703,0.000703,0,0
108,23,103,0.01,0.001217,0.001217,0,0
109,26,104,0.03,0.00147,0.00147,0,0
110,26,105,0.01,0.001911,0.001911,0,0
111,103,105,0.01,0.001106,0.001106,0,0
112,103,106,0.03,0.000998,0.000998,2.22e-11,1.3605e+10
113,105,107,0.03,0.001531,0.001531,5.2245e-11,5.6526e+09
114,102,108,0.015,0.000703,0.000703,1.1015e-11,2.7935e+10
115,104,109,0.025,0.00147,0.00147,4.8164e-11,6.1436e+09
116,102,104,0.03,0.000806,0.000806,0,0
