SUBJECT NUMBER, AGE, DIA, HR, LVET, MBP, PWV, SV
1,25,0,0,0,0,0,0
2,35,0,0,0,0,0,0
3,45,0,0,0,0,0,0
4,55,0,0,0,0,0,0
5,65,0,0,0,0,0,0
6,75,0,0,0,0,0,0
7,25,-1,0,0,0,0,0
8,25,0,-1,0,0,0,0
9,25,0,0,-1,0,0,0
10,25,0,0,0,-1,0,0
11,25,0,0,0,0,-1,0
12,25,0,0,0,0,0,-1
13,25,0,0,0,0,0,1
14,25,0,0,0,0,1,0
15,25,0,0,0,1,0,0
16,25,0,0,1,0,0,0
17,25,0,1,0,0,0,0
18,25,1,0,0,0,0,0
19,35,-1,0,0,0,0,0
20,35,0,-1,0,0,0,0
21,35,0,0,-1,0,0,0
22,35,0,0,0,-1,0,0
23,35,0,0,0,0,-1,0
24,35,0,0,0,0,0,-1
25,35,0,0,0,0,0,1
26,35,0,0,0,0,1,0
27,35,0,0,0,1,0,0
28,35,0,0,1,0,0,0
29,35,0,1,0,0,0,0
30,35,1,0,0,0,0,0
31,45,-1,0,0,0,0,0
32,45,0,-1,0,0,0,0
33,45,0,0,-1,0,0,0
34,45,0,0,0,-1,0,0
35,45,0,0,0,0,-1,0
36,45,0,0,0,0,0,-1
37,45,0,0,0,0,0,1
38,45,0,0,0,0,1,0
39,45,0,0,0,1,0,0
40,45,0,0,1,0,0,0
41,45,0,1,0,0,0,0
42,45,1,0,0,0,0,0
43,55,-1,0,0,0,0,0
44,55,0,-1,0,0,0,0
45,55,0,0,-1,0,0,0
46,55,0,0,0,-1,0,0
47,55,0,0,0,0,-1,0
48,55,0,0,0,0,0,-1
49,55,0,0,0,0,0,1
50,55,0,0,0,0,1,0
51,55,0,0,0,1,0,0
52,55,0,0,1,0,0,0
53,55,0,1,0,0,0,0
54,55,1,0,0,0,0,0
55,65,-1,0,0,0,0,0
56,65,0,-1,0,0,0,0
57,65,0,0,-1,0,0,0
58,65,0,0,0,-1,0,0
59,65,0,0,0,0,-1,0
60,65,0,0,0,0,0,-1
61,65,0,0,0,0,0,1
62,65,0,0,0,0,1,0
63,65,0,0,0,1,0,0
64,65,0,0,1,0,0,0
65,65,0,1,0,0,0,0
66,65,1,0,0,0,0,0
67,75,-1,0,0,0,0,0
68,75,0,-1,0,0,0,0
69,75,0,0,-1,0,0,0
70,75,0,0,0,-1,0,0
71,75,0,0,0,0,-1,0
72,75,0,0,0,0,0,-1
73,75,0,0,0,0,0,1
74,75,0,0,0,0,1,0
75,75,0,0,0,1,0,0
76,75,0,0,1,0,0,0
77,75,0,1,0,0,0,0
78,75,1,0,0,0,0,0
79,25,-1,-1,-1,-1,-1,-1
80,25,1,-1,-1,-1,-1,-1
81,25,-1,1,-1,-1,-1,-1
82,25,1,1,-1,-1,-1,-1
83,25,-1,-1,1,-1,-1,-1
84,25,1,-1,1,-1,-1,-1
85,25,-1,1,1,-1,-1,-1
86,25,1,1,1,-1,-1,-1
87,25,-1,-1,-1,1,-1,-1
88,25,1,-1,-1,1,-1,-1
89,25,-1,1,-1,1,-1,-1
90,25,1,1,-1,1,-1,-1
91,25,-1,-1,1,1,-1,-1
92,25,1,-1,1,1,-1,-1
93,25,-1,1,1,1,-1,-1
94,25,1,1,1,1,-1,-1
95,25,-1,-1,-1,-1,1,-1
96,25,1,-1,-1,-1,1,-1
97,25,-1,1,-1,-1,1,-1
98,25,1,1,-1,-1,1,-1
99,25,-1,-1,1,-1,1,-1
100,25,1,-1,1,-1,1,-1
101,25,-1,1,1,-1,1,-1
102,25,1,1,1,-1,1,-1
103,25,-1,-1,-1,1,1,-1
104,25,1,-1,-1,1,1,-1
105,25,-1,1,-1,1,1,-1
106,25,1,1,-1,1,1,-1
107,25,-1,-1,1,1,1,-1
108,25,1,-1,1,1,1,-1
109,25,-1,1,1,1,1,-1
110,25,1,1,1,1,1,-1
111,25,-1,-1,-1,-1,-1,1
112,25,1,-1,-1,-1,-1,1
113,25,-1,1,-1,-1,-1,1
114,25,1,1,-1,-1,-1,1
115,25,-1,-1,1,-1,-1,1
