Subject Number, base, base_age, age [years], hr [bpm], sv [ml], pft [ms], rfv [ml], dbp [mmHg], mbp [mmHg], viscosity [Pa s], alpha [-], p_drop [mmHg], pvc [scaling factor], p_out [mmHg], density [kg /m^3], lvet [ms], pvr [Pa s/m^3], b0 [g/s], b1 [g cm/s], k1 [g/s^2/cm], k2 [/cm], k3 [g/s^2/cm]
1,1,1,25,72.916,66.334,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,282,9.2167e+07,600,150,3e+06,-13.5,5.3849e+05
2,0,1,35,76.803,63.809,79,0.73,76.9,91.846,0.0025,1.3333,0,0.88636,33.2,1060,282,9.5733e+07,600,150,3e+06,-13.5,6.5575e+05
3,0,1,45,77.74,61.285,79,0.73,78.99,94.985,0.0025,1.3333,0,0.77273,33.2,1060,282,1.0375e+08,600,150,3e+06,-13.5,8.4655e+05
4,0,1,55,77.301,58.76,79,0.73,79,95,0.0025,1.3333,0,0.65909,33.2,1060,282,1.0884e+08,600,150,3e+06,-13.5,1.0683e+06
5,0,1,65,76.514,56.236,79,0.73,78.067,94.052,0.0025,1.3333,0,0.54545,33.2,1060,282,1.1314e+08,600,150,3e+06,-13.5,1.3343e+06
6,0,1,75,74.435,53.711,79,0.73,76.072,93.05,0.0025,1.3333,0,0.43182,33.2,1060,282,1.1976e+08,600,150,3e+06,-13.5,1.6648e+06
7,0,0,25,72.916,66.334,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,282,9.2167e+07,600,150,3e+06,-13.5,5.3708e+05
8,0,0,25,61.72,66.334,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,295.65,1.0889e+08,600,150,3e+06,-13.5,5.3849e+05
9,0,0,25,72.916,66.334,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,274.64,9.2167e+07,600,150,3e+06,-13.5,5.3849e+05
10,0,0,25,72.916,66.334,79,0.73,74.9,81.182,0.0025,1.3333,0,1,33.2,1060,282,7.936e+07,600,150,3e+06,-13.5,4.895e+05
11,0,0,25,72.916,66.334,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,282,9.2167e+07,600,150,3e+06,-13.5,4.2783e+05
12,0,0,25,72.916,50.298,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,259.11,1.2155e+08,600,150,3e+06,-13.5,5.3849e+05
13,0,0,25,72.916,82.369,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,304.89,7.4224e+07,600,150,3e+06,-13.5,5.3849e+05
14,0,0,25,72.916,66.334,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,282,9.2167e+07,600,150,3e+06,-13.5,6.9402e+05
15,0,0,25,72.916,66.334,79,0.73,74.9,96.668,0.0025,1.3333,0,1,33.2,1060,282,1.0497e+08,600,150,3e+06,-13.5,5.8973e+05
16,0,0,25,72.916,66.334,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,289.36,9.2167e+07,600,150,3e+06,-13.5,5.3849e+05
17,0,0,25,84.112,66.334,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,268.35,7.9899e+07,600,150,3e+06,-13.5,5.3849e+05
18,0,0,25,72.916,66.334,79,0.73,74.9,88.925,0.0025,1.3333,0,1,33.2,1060,282,9.2167e+07,600,150,3e+06,-13.5,5.3963e+05
19,0,0,35,76.803,63.809,79,0.73,76.9,91.846,0.0025,1.3333,0,0.88636,33.2,1060,282,9.5733e+07,600,150,3e+06,-13.5,6.544e+05
20,0,0,35,65.607,63.809,79,0.73,76.9,91.846,0.0025,1.3333,0,0.88636,33.2,1060,296.2,1.1207e+08,600,150,3e+06,-13.5,6.5575e+05
21,0,0,35,76.803,63.809,79,0.73,76.9,91.846,0.0025,1.3333,0,0.88636,33.2,1060,274.9,9.5733e+07,600,150,3e+06,-13.5,6.5575e+05
22,0,0,35,76.803,63.809,79,0.73,76.9,84.199,0.0025,1.3333,0,0.88636,33.2,1060,282,8.3249e+07,600,150,3e+06,-13.5,5.817e+05
23,0,0,35,76.803,63.809,79,0.73,76.9,91.846,0.0025,1.3333,0,0.88636,33.2,1060,282,9.5733e+07,600,150,3e+06,-13.5,4.8849e+05
